affile,score,hom,prob
AF-A0A3Q0KI18-F1-model_v4,1.49,542,0.017
AF-G4VKB6-F1-model_v4,5.74,542,0.231
AF-A0A5K4F481-F1-model_v4,6.12,542,0.252
AF-A0A5K4F3D1-F1-model_v4,1.64,542,0.022
AF-G4VC56-F1-model_v4,25.68,543,0.867
AF-A0A3Q0KC37-F1-model_v4,22.86,543,0.833
AF-A0A3Q0KNZ9-F1-model_v4,14.76,543,0.651
AF-A0A5K4ERV0-F1-model_v4,6.76,543,0.29
AF-G4VL82-F1-model_v4,14.01,543,0.624
AF-G4LXP3-F1-model_v4,7.86,543,0.351
AF-A0A5K4FCS5-F1-model_v4,12.25,543,0.558
AF-A0A3Q0KSU3-F1-model_v4,42.78,543,0.953
AF-G4LYT5-F1-model_v4,1.48,544,0.017
AF-G4M0Z8-F1-model_v4,2.21,544,0.044
AF-G4VKP4-F1-model_v4,10.68,544,0.492
AF-A0A3Q0KN16-F1-model_v4,15.25,544,0.667
AF-A0A5K4F6U7-F1-model_v4,20.81,544,0.799
AF-G4M0J1-F1-model_v4,14.1,544,0.627
AF-A0A5K4F156-F1-model_v4,4.31,544,0.147
AF-A0A5K4EP20-F1-model_v4,6.31,544,0.264
AF-A0A3Q0KCZ3-F1-model_v4,6.61,544,0.282
AF-A0A3Q0KV92-F1-model_v4,2.09,545,0.039
AF-A0A5K4FAW9-F1-model_v4,11.74,545,0.539
AF-A0A5K4F5X8-F1-model_v4,1.36,545,0.013
AF-A0A5K4EXL6-F1-model_v4,10.81,545,0.498
AF-G4VKF6-F1-model_v4,4.92,545,0.182
AF-G4VMN6-F1-model_v4,21.72,545,0.817
AF-A0A5K4ENR0-F1-model_v4,9.71,545,0.449
AF-A0A3Q0KGS7-F1-model_v4,6.27,547,0.261
AF-A0A3Q0KS17-F1-model_v4,7.23,547,0.316
AF-A0A5K4FA27-F1-model_v4,8.01,547,0.359
AF-A0A5K4E9N2-F1-model_v4,9.64,547,0.446
AF-A0A5K4F6Y3-F1-model_v4,2.68,547,0.064
AF-A0A5K4ELW9-F1-model_v4,31.48,547,0.91
AF-A0A3Q0KTS3-F1-model_v4,22.64,547,0.83
AF-A0A3Q0KQL5-F1-model_v4,9.24,547,0.424
AF-A0A5K4FCR4-F1-model_v4,3.86,547,0.122
AF-A0A3Q0KD33-F1-model_v4,33.08,547,0.92
AF-G4VFS6-F1-model_v4,5.65,547,0.225
AF-A0A5K4FB31-F1-model_v4,17.44,547,0.727
AF-G4LUP9-F1-model_v4,2.45,548,0.054
AF-A0A3Q0KDV8-F1-model_v4,1.98,548,0.035
AF-A0A5K4F0Q2-F1-model_v4,6.49,548,0.275
AF-A0A5K4FFR4-F1-model_v4,1.89,548,0.032
AF-A0A5K4F4G1-F1-model_v4,8.69,548,0.397
AF-A0A5K4EN30-F1-model_v4,7.55,549,0.334
AF-A0A5K4F5Z6-F1-model_v4,31.06,549,0.907
AF-O17307-F1-model_v4,1.27,549,0.011
AF-A0A5K4EWK9-F1-model_v4,12.64,549,0.574
AF-G4M1K4-F1-model_v4,9.07,549,0.417
AF-A0A5K4EQE0-F1-model_v4,79.91,549,0.991
AF-G4LUA8-F1-model_v4,8.02,549,0.36
AF-A0A3Q0KHA9-F1-model_v4,4.08,549,0.134
AF-A0A3Q0KVC4-F1-model_v4,12.56,549,0.57
AF-A0A5K4EAA4-F1-model_v4,22.19,549,0.823
AF-A0A5K4EA79-F1-model_v4,16.92,550,0.713
AF-A0A5K4EWM6-F1-model_v4,2.65,550,0.063
AF-A0A3Q0KRC0-F1-model_v4,2.81,550,0.07
AF-A0A5K4ENA8-F1-model_v4,16.91,550,0.713
AF-A0A5K4FDG2-F1-model_v4,10.84,550,0.5
AF-A0A5K4F1Y7-F1-model_v4,1.85,551,0.03
AF-A0A5K4FF22-F1-model_v4,1.39,551,0.014
AF-G4V5N4-F1-model_v4,2.44,551,0.054
AF-A0A5K4FE55-F1-model_v4,13.51,551,0.605
AF-G4VND5-F1-model_v4,3.41,552,0.098
AF-G4VTK4-F1-model_v4,4.28,552,0.145
AF-A0A5K4F282-F1-model_v4,2.75,552,0.068
AF-G4VDD3-F1-model_v4,1.45,552,0.016
AF-A0A5K4F0D5-F1-model_v4,15.82,552,0.683
AF-A0A3Q0KC01-F1-model_v4,3.18,552,0.087
AF-A0A5K4F8P1-F1-model_v4,5.46,552,0.214
AF-A0A5K4FFA3-F1-model_v4,8.34,552,0.378
AF-A0A5K4EY50-F1-model_v4,1.14,553,0.008
AF-A0A5K4F550-F1-model_v4,74.13,553,0.99
AF-G4V8A3-F1-model_v4,4.73,553,0.172
AF-A0A3Q0KT11-F1-model_v4,2.84,553,0.072
AF-A0A3Q0KT66-F1-model_v4,5.75,553,0.231
AF-A0A5K4EET5-F1-model_v4,13.17,554,0.594
AF-A0A3Q0KSD3-F1-model_v4,6.7,554,0.287
AF-A0A5K4F3T2-F1-model_v4,4.63,554,0.166
AF-A0A3Q0KBX9-F1-model_v4,59.77,554,0.982
AF-A0A5K4F8Q8-F1-model_v4,11.52,555,0.531
AF-A0A5K4FCK9-F1-model_v4,22.48,555,0.828
AF-A0A5K4EVF5-F1-model_v4,3.59,555,0.107
AF-A0A5K4ER21-F1-model_v4,13.02,555,0.589
AF-A0A3Q0KDT8-F1-model_v4,34.49,556,0.927
AF-A0A5K4EDN2-F1-model_v4,19.78,556,0.782
AF-A0A3Q0KS76-F1-model_v4,9.12,556,0.419
AF-G4LX07-F1-model_v4,11.54,556,0.532
AF-A0A5K4EVH5-F1-model_v4,4.45,556,0.156
AF-A0A5K4F9Z1-F1-model_v4,8.68,556,0.396
AF-A0A5K4EYQ2-F1-model_v4,1.88,557,0.031
AF-A0A3Q0KRM3-F1-model_v4,39.97,557,0.946
AF-A0A3Q0KTL3-F1-model_v4,1.13,557,0.008
AF-A0A5K4FBY8-F1-model_v4,8.37,557,0.38
AF-A0A5K4F3S7-F1-model_v4,35.04,558,0.931
AF-A0A3Q0KK31-F1-model_v4,1.28,558,0.011
AF-A0A3Q0KMD8-F1-model_v4,47.67,558,0.964
AF-G4VSU9-F1-model_v4,2.41,558,0.052
AF-A0A3Q0KLU3-F1-model_v4,8.52,558,0.387
AF-G4VRJ3-F1-model_v4,18.01,558,0.742
AF-A0A3Q0KJ24-F1-model_v4,20.68,558,0.797
AF-A0A5K4F8X4-F1-model_v4,9.72,558,0.45
AF-G4VSS5-F1-model_v4,3.39,559,0.096
AF-A0A3Q0KKN8-F1-model_v4,5.22,559,0.2
AF-A0A3Q0KF97-F1-model_v4,2.2,559,0.043
AF-A0A3Q0KCW4-F1-model_v4,17.6,559,0.731
AF-A0A3Q0KCR9-F1-model_v4,6.43,559,0.272
AF-G4VII0-F1-model_v4,8.37,559,0.38
AF-A0A5K4EYS9-F1-model_v4,7.72,560,0.343
AF-A0A3Q0KGG3-F1-model_v4,16.16,560,0.693
AF-A0A5K4EX16-F1-model_v4,3.45,560,0.1
AF-G4VFD9-F1-model_v4,5.23,560,0.201
AF-G4VS40-F1-model_v4,27.67,560,0.884
AF-A0A5K4F1V3-F1-model_v4,15.36,560,0.671
AF-A0A3Q0KVG3-F1-model_v4,6.44,560,0.272
AF-A0A5K4EH63-F1-model_v4,22.91,560,0.833
AF-A0A3Q0KET5-F1-model_v4,12.38,560,0.564
AF-G4VJ36-F1-model_v4,42.27,560,0.952
AF-A0A3Q0KMR3-F1-model_v4,9.16,561,0.42
AF-A0A5K4E9U5-F1-model_v4,9.03,561,0.415
AF-G4V8R6-F1-model_v4,2.75,561,0.068
AF-A0A5K4ELY8-F1-model_v4,1.56,561,0.019
AF-A0A5K4EDY1-F1-model_v4,15.43,561,0.673
AF-G4VM27-F1-model_v4,1.87,562,0.031
AF-A0A5K4EUV3-F1-model_v4,3.21,562,0.088
AF-A0A5K4EL95-F1-model_v4,7.26,562,0.318
AF-G4VQ51-F1-model_v4,1.01,563,0.005
AF-A0A3Q0KMG5-F1-model_v4,4.87,563,0.179
AF-G4VLA9-F1-model_v4,1.34,563,0.013
AF-A0A5K4FCQ8-F1-model_v4,4.24,563,0.143
AF-A0A5K4FAK3-F1-model_v4,9.3,563,0.427
AF-A0A5K4EE63-F1-model_v4,3.67,563,0.111
AF-A0A5K4EAF8-F1-model_v4,4.94,563,0.184
AF-A0A3Q0KHV8-F1-model_v4,4.34,563,0.149
AF-A0A3Q0KJY8-F1-model_v4,5.93,563,0.241
AF-A0A5K4EWD9-F1-model_v4,11.41,563,0.526
AF-A0A5K4FD27-F1-model_v4,1.11,564,0.007
AF-A0A5K4FCN8-F1-model_v4,65.25,564,0.986
AF-A0A3Q0KH61-F1-model_v4,11.33,564,0.523
AF-A0A5K4EKL7-F1-model_v4,17.36,565,0.725
AF-G4M060-F1-model_v4,1.74,565,0.026
AF-A0A5K4EVN5-F1-model_v4,7.29,565,0.32
AF-A0A3Q0KTR7-F1-model_v4,16.68,565,0.707
AF-A0A5K4FCZ3-F1-model_v4,34.1,566,0.924
AF-A0A3Q0KTR3-F1-model_v4,7.46,566,0.33
AF-G4V8A8-F1-model_v4,2.22,567,0.044
AF-A0A5K4F683-F1-model_v4,13.11,567,0.592
AF-A0A5K4F6J2-F1-model_v4,1.78,567,0.027
AF-A0A5K4FA74-F1-model_v4,10.99,567,0.507
AF-A0A5K4ENC9-F1-model_v4,41.59,567,0.951
AF-A0A3Q0KQT0-F1-model_v4,3.78,567,0.118
AF-A0A5K4F4B7-F1-model_v4,16.81,567,0.71
AF-A0A5K4EBF9-F1-model_v4,32.96,567,0.919
AF-A0A5K4EGY8-F1-model_v4,2.76,567,0.068
AF-A0A5K4FFD7-F1-model_v4,15.91,568,0.685
AF-A0A5K4F3V8-F1-model_v4,4.7,568,0.17
AF-A0A5K4EZY3-F1-model_v4,7.49,568,0.331
AF-A0A3Q0KJD5-F1-model_v4,9.89,568,0.457
AF-A0A5K4F2C6-F1-model_v4,6.53,568,0.278
AF-G4LU92-F1-model_v4,12.43,568,0.566
AF-A0A3Q0KDM8-F1-model_v4,61.6,568,0.983
AF-A0A5K4F223-F1-model_v4,13.52,569,0.606
AF-A0A5K4EYA8-F1-model_v4,12.3,569,0.561
AF-A0A3Q0KT23-F1-model_v4,10.61,569,0.489
AF-A0A3Q0KQ76-F1-model_v4,4.34,569,0.149
AF-A0A5K4ERU5-F1-model_v4,29.84,569,0.9
AF-A0A3Q0KQI7-F1-model_v4,19.6,569,0.778
AF-A0A3Q0KGK5-F1-model_v4,2.87,569,0.073
AF-A0A3Q0KLZ0-F1-model_v4,7.41,569,0.327
AF-A0A5K4F721-F1-model_v4,2.04,569,0.037
AF-A0A5K4FCC3-F1-model_v4,7.49,570,0.331
AF-A0A5K4F1P0-F1-model_v4,32.83,570,0.919
AF-A0A3Q0KVH4-F1-model_v4,17.14,570,0.718
AF-G4V886-F1-model_v4,1.73,570,0.026
AF-A0A3Q0KME7-F1-model_v4,7.15,570,0.311
AF-A0A5K4EX30-F1-model_v4,52.35,570,0.97
AF-A0A3Q0KQS8-F1-model_v4,15.76,571,0.681
AF-A0A3Q0KR54-F1-model_v4,2.37,571,0.051
AF-A0A3Q0KPB4-F1-model_v4,7.14,571,0.311
AF-A0A5K4FC42-F1-model_v4,2.44,571,0.054
AF-G4VC75-F1-model_v4,1.41,572,0.015
AF-A0A5K4FA38-F1-model_v4,16.7,572,0.708
AF-A0A3Q0KKT6-F1-model_v4,13.03,572,0.589
AF-A0A5K4F040-F1-model_v4,5.84,573,0.236
AF-A0A5K4F1W7-F1-model_v4,11.07,573,0.511
AF-A0A3Q0KBP8-F1-model_v4,11.66,573,0.536
AF-A0A5K4EWB0-F1-model_v4,2.71,573,0.066
AF-Q15ES0-F1-model_v4,17.46,573,0.727
AF-A0A5K4EKU2-F1-model_v4,14.52,574,0.642
AF-G4LUH1-F1-model_v4,0.82,574,0.002
AF-G4V9R2-F1-model_v4,5.33,574,0.206
AF-A0A5K4EK53-F1-model_v4,9.6,574,0.443
AF-A0A5K4F0Y2-F1-model_v4,10.09,574,0.467
AF-A0A3Q0KQ69-F1-model_v4,12.23,574,0.558
AF-G4LYP5-F1-model_v4,5.94,575,0.241
AF-A0A5K4FEV4-F1-model_v4,1.27,575,0.011
AF-A0A5K4FC04-F1-model_v4,19.74,575,0.781
AF-A0A5K4EXN9-F1-model_v4,7.53,575,0.333
AF-A0A5K4FAC1-F1-model_v4,11.37,575,0.524
AF-A0A5K4EJ12-F1-model_v4,4.92,575,0.182
AF-A0A3Q0KT56-F1-model_v4,2.32,575,0.048
AF-A0A3Q0KNF9-F1-model_v4,65.63,576,0.986
AF-G4V632-F1-model_v4,8.45,576,0.384
AF-G4V9S9-F1-model_v4,61.85,576,0.983
AF-A0A5K4F9W1-F1-model_v4,20.99,577,0.802
AF-A0A5K4ELW2-F1-model_v4,15.23,577,0.667
AF-A0A3Q0KHC2-F1-model_v4,2.74,577,0.067
AF-A0A5K4EEF2-F1-model_v4,38.2,577,0.942
AF-A0A5K4EMT8-F1-model_v4,5.07,578,0.191
AF-A0A5K4EZR8-F1-model_v4,10.62,578,0.49
AF-A0A5K4F8R8-F1-model_v4,2.15,578,0.041
AF-A0A3Q0KHW7-F1-model_v4,1.4,578,0.015
AF-A0A3Q0KFD4-F1-model_v4,1.76,578,0.027
AF-G4VCA6-F1-model_v4,3.34,579,0.094
AF-A0A5K4EZG7-F1-model_v4,10.31,579,0.477
AF-A0A5K4EVQ4-F1-model_v4,6.07,580,0.249
AF-A0A3Q0KE09-F1-model_v4,4.71,580,0.17
AF-A0A5K4EEB0-F1-model_v4,7.82,580,0.349
AF-A0A3Q0KNT7-F1-model_v4,22.55,580,0.829
AF-A0A3Q0KF74-F1-model_v4,0.96,580,0.004
AF-G4VTT7-F1-model_v4,25.44,580,0.865
AF-A0A5K4EZT1-F1-model_v4,2.15,580,0.042
AF-G4LV96-F1-model_v4,1.95,581,0.034
AF-A0A3Q0KF56-F1-model_v4,9.92,581,0.459
AF-A0A5K4F7Q7-F1-model_v4,5.24,581,0.201
AF-A0A5K4F186-F1-model_v4,1.59,581,0.021
AF-A0A5K4ELI8-F1-model_v4,55.23,581,0.974
AF-A0A5K4F8K3-F1-model_v4,10.74,581,0.495
AF-A0A5K4FEM7-F1-model_v4,1.71,581,0.025
AF-A0A5K4F2I1-F1-model_v4,17.91,581,0.739
AF-G4VEH9-F1-model_v4,10.21,582,0.473
AF-A0A5K4EDC0-F1-model_v4,3.84,582,0.121
AF-A0A5K4FB05-F1-model_v4,8.24,582,0.373
AF-A0A3Q0KN17-F1-model_v4,53.44,582,0.971
AF-A0A5K4F641-F1-model_v4,8.51,583,0.387
AF-A0A5K4FE05-F1-model_v4,2.67,583,0.064
AF-A0A5K4EJS2-F1-model_v4,18.18,583,0.745
AF-A0A5K4EU40-F1-model_v4,14.14,583,0.628
AF-A0A5K4EA32-F1-model_v4,5.42,583,0.212
AF-G4M0S3-F1-model_v4,38.45,583,0.942
AF-A0A5K4FB17-F1-model_v4,1.19,584,0.009
AF-A0A5K4F5N0-F1-model_v4,1.57,584,0.02
AF-A0A5K4EDY2-F1-model_v4,33.56,584,0.922
AF-A0A5K4EV73-F1-model_v4,2.45,584,0.054
AF-A0A5K4F3G2-F1-model_v4,12.88,584,0.584
AF-A0A3Q0KMU9-F1-model_v4,8.0,584,0.359
AF-A0A5K4ET53-F1-model_v4,13.8,584,0.616
AF-A0A5K4FGA0-F1-model_v4,10.11,585,0.468
AF-Q26572-F1-model_v4,2.2,585,0.044
AF-A0A3Q0KMN7-F1-model_v4,3.78,585,0.118
AF-A0A3Q0KC52-F1-model_v4,4.78,585,0.174
AF-A0A3Q0KK43-F1-model_v4,2.44,585,0.054
AF-G4VTR7-F1-model_v4,5.69,585,0.228
AF-A0A3Q0KKL3-F1-model_v4,25.75,586,0.868
AF-A0A5K4EQV8-F1-model_v4,21.68,586,0.816
AF-A0A5K4FDU7-F1-model_v4,11.21,586,0.517
AF-A0A5K4FEK8-F1-model_v4,19.19,586,0.769
AF-A0A5K4EW16-F1-model_v4,0.96,586,0.004
AF-A0A5K4EIZ7-F1-model_v4,26.14,586,0.871
AF-P16026-F1-model_v4,5.35,587,0.208
AF-G4LZ16-F1-model_v4,13.52,587,0.605
AF-A0A5K4ERH1-F1-model_v4,27.78,587,0.884
AF-G4VP16-F1-model_v4,7.92,587,0.354
AF-A0A3Q0KHZ5-F1-model_v4,67.33,588,0.987
AF-A0A3Q0KPZ3-F1-model_v4,4.1,588,0.135
AF-A0A5K4EEJ3-F1-model_v4,3.44,588,0.099
AF-A0A5K4F9Q2-F1-model_v4,38.68,588,0.943
AF-A0A5K4EW17-F1-model_v4,11.45,589,0.528
AF-A0A5K4F1Z1-F1-model_v4,10.97,589,0.506
AF-A0A3Q0KBY2-F1-model_v4,27.96,589,0.886
AF-A0A5K4FBV1-F1-model_v4,60.16,589,0.982
AF-A0A5K4EPA9-F1-model_v4,46.33,589,0.96
AF-A0A5K4FH46-F1-model_v4,12.01,589,0.549
AF-A0A3Q0KQP4-F1-model_v4,4.72,589,0.171
AF-A0A5K4EZ46-F1-model_v4,6.57,589,0.28
AF-A0A5K4EP74-F1-model_v4,11.95,589,0.547
AF-G4V927-F1-model_v4,3.98,589,0.129
AF-A0A3Q0KKW6-F1-model_v4,17.28,590,0.722
AF-A0A5K4FFP7-F1-model_v4,13.39,590,0.601
AF-A0A5K4F5M6-F1-model_v4,1.45,590,0.016
AF-A0A3Q0KGP0-F1-model_v4,9.57,590,0.442
AF-A0A3Q0KVB0-F1-model_v4,1.39,590,0.014
AF-A0A3Q0KPF7-F1-model_v4,1.73,590,0.025
AF-A0A5K4FC54-F1-model_v4,36.08,591,0.935
AF-G4VQS9-F1-model_v4,6.39,591,0.269
AF-A0A3Q0KNJ3-F1-model_v4,16.66,591,0.707
AF-G4V7H9-F1-model_v4,40.0,591,0.946
AF-G4VBT2-F1-model_v4,0.55,591,0.0
AF-G4VMB5-F1-model_v4,1.66,591,0.023
AF-A0A5K4F9S0-F1-model_v4,23.69,591,0.844
AF-A0A5K4F1K7-F1-model_v4,1.93,592,0.033
AF-A0A5K4F4B0-F1-model_v4,1.13,592,0.008
AF-A0A5K4EFD9-F1-model_v4,3.86,592,0.122
AF-A0A5K4FF43-F1-model_v4,3.56,592,0.105
AF-G4V8N4-F1-model_v4,3.29,592,0.092
AF-A0A3Q0KHR0-F1-model_v4,2.61,592,0.061
AF-G4VMH7-F1-model_v4,7.61,592,0.337
AF-A0A5K4F9T8-F1-model_v4,5.18,593,0.197
AF-A0A5K4F091-F1-model_v4,49.65,593,0.967
AF-G4VER2-F1-model_v4,4.45,593,0.155
AF-A0A3Q0KPS7-F1-model_v4,68.89,593,0.987
AF-A0A5K4F4G5-F1-model_v4,2.47,593,0.055
AF-A0A3Q0KS21-F1-model_v4,2.13,593,0.041
AF-A0A5K4EEJ4-F1-model_v4,7.81,593,0.349
AF-A0A5K4F4B8-F1-model_v4,2.98,594,0.078
AF-A0A3Q0KBY0-F1-model_v4,32.76,594,0.918
AF-A0A5K4E8X1-F1-model_v4,1.37,594,0.014
AF-A0A3Q0KFP2-F1-model_v4,24.11,594,0.85
AF-A0A5K4EUF9-F1-model_v4,7.22,595,0.315
AF-Q15EU0-F1-model_v4,1.44,595,0.016
AF-A0A5K4F552-F1-model_v4,14.98,595,0.659
AF-G4VBM7-F1-model_v4,5.61,595,0.224
AF-A0A5K4F8J9-F1-model_v4,7.05,595,0.306
AF-A0A3Q0KPG0-F1-model_v4,1.55,595,0.019
AF-G4VHS7-F1-model_v4,20.3,595,0.792
AF-A0A3Q0KR83-F1-model_v4,32.3,595,0.915
AF-A0A5K4F5B2-F1-model_v4,1.25,595,0.011
AF-G4LVF9-F1-model_v4,3.21,595,0.088
AF-A0A3Q0KP15-F1-model_v4,4.43,596,0.154
AF-G4LW70-F1-model_v4,14.85,596,0.654
AF-G4LVT9-F1-model_v4,1.59,596,0.02
AF-A0A3Q0KR76-F1-model_v4,15.28,596,0.668
AF-A0A5K4F7G9-F1-model_v4,8.95,596,0.411
AF-A0A5K4F901-F1-model_v4,8.16,596,0.368
AF-A0A3Q0KKH0-F1-model_v4,6.32,596,0.264
AF-G4VK98-F1-model_v4,15.11,597,0.663
AF-A0A3Q0KNN4-F1-model_v4,3.73,597,0.115
AF-A0A5K4F030-F1-model_v4,10.52,597,0.486
AF-A0A5K4FC51-F1-model_v4,10.41,597,0.482
AF-G4M0A1-F1-model_v4,6.77,597,0.291
AF-A0A3Q0KKL9-F1-model_v4,16.36,597,0.699
AF-A0A5K4EMF3-F1-model_v4,20.25,597,0.791
AF-A0A5K4EKW7-F1-model_v4,28.02,598,0.886
AF-A0A5K4F8Q6-F1-model_v4,1.44,598,0.016
AF-A0A3Q0KT16-F1-model_v4,11.45,598,0.528
AF-A0A5K4FA60-F1-model_v4,7.08,598,0.307
AF-A0A3Q0KVH1-F1-model_v4,9.71,599,0.449
AF-G4VH80-F1-model_v4,0.84,599,0.003
AF-G4VJ82-F1-model_v4,18.2,600,0.746
AF-A0A5K4FBU8-F1-model_v4,33.26,600,0.921
AF-A0A3Q0KVL9-F1-model_v4,0.79,601,0.002
AF-A0A3Q0KKN2-F1-model_v4,10.55,601,0.487
AF-A0A5K4F192-F1-model_v4,55.83,601,0.975
AF-A0A3Q0KLR4-F1-model_v4,20.31,601,0.792
AF-A0A3Q0KHB1-F1-model_v4,7.96,602,0.357
AF-G4V6F3-F1-model_v4,14.07,602,0.626
AF-A0A5K4EBB4-F1-model_v4,3.07,602,0.082
AF-G4V7W3-F1-model_v4,32.01,602,0.913
AF-A0A3Q0KKW1-F1-model_v4,33.99,602,0.924
AF-A0A3Q0KC45-F1-model_v4,1.69,602,0.024
AF-A0A5K4F6U1-F1-model_v4,8.22,602,0.372
AF-A0A5K4E9S1-F1-model_v4,9.34,603,0.429
AF-A0A3Q0KSP9-F1-model_v4,5.32,603,0.206
AF-A0A5K4EQR6-F1-model_v4,13.32,604,0.599
AF-A0A3Q0KSR6-F1-model_v4,2.98,604,0.078
AF-G4V9K3-F1-model_v4,36.64,604,0.937
AF-P46435-F1-model_v4,4.33,604,0.148
AF-G4VK57-F1-model_v4,14.18,604,0.629
AF-A0A3Q0KG11-F1-model_v4,3.17,604,0.086
AF-A0A5K4EMP5-F1-model_v4,4.53,605,0.16
AF-A0A5K4ERX3-F1-model_v4,7.85,605,0.351
AF-A0A3Q0KJI8-F1-model_v4,3.61,605,0.108
AF-A0A3Q0KVD4-F1-model_v4,8.57,605,0.39
AF-A0A3Q0KLA4-F1-model_v4,14.93,605,0.657
AF-G4VLV8-F1-model_v4,1.41,606,0.015
AF-G4VS32-F1-model_v4,1.21,606,0.01
AF-A0A5K4FBF9-F1-model_v4,5.15,607,0.195
AF-A0A5K4F6H7-F1-model_v4,8.28,607,0.375
AF-A0A5K4EZE5-F1-model_v4,15.24,607,0.667
AF-A0A5K4FCD6-F1-model_v4,56.53,607,0.976
AF-A0A5K4FBR1-F1-model_v4,17.39,607,0.725
AF-A0A5K4F272-F1-model_v4,26.43,608,0.873
AF-A0A5K4F759-F1-model_v4,13.32,608,0.599
AF-A0A5K4EBD8-F1-model_v4,3.73,608,0.115
AF-A0A3Q0KQU5-F1-model_v4,15.23,609,0.667
AF-A0A3Q0KJ12-F1-model_v4,7.91,609,0.354
AF-A0A3Q0KGS5-F1-model_v4,15.57,610,0.676
AF-A0A3Q0KL80-F1-model_v4,7.0,610,0.303
AF-A0A5K4FE28-F1-model_v4,3.17,610,0.086
AF-A0A3Q0KD37-F1-model_v4,13.48,610,0.604
AF-A0A3Q0KPW7-F1-model_v4,34.92,610,0.93
AF-A0A5K4FA44-F1-model_v4,65.34,610,0.986
AF-A0A5K4FAX2-F1-model_v4,18.7,611,0.758
AF-G4VAJ9-F1-model_v4,4.55,611,0.161
AF-A0A3Q0KGC7-F1-model_v4,29.51,611,0.897
AF-A0A3Q0KCH5-F1-model_v4,30.83,611,0.906
AF-A0A3Q0KRL9-F1-model_v4,7.7,611,0.342
AF-A0A3Q0KKQ2-F1-model_v4,7.74,611,0.345
AF-A0A3Q0KGC1-F1-model_v4,28.75,611,0.891
AF-A0A5K4EDQ1-F1-model_v4,8.34,612,0.379
AF-A0A3Q0KL88-F1-model_v4,7.71,612,0.343
AF-G4VBL5-F1-model_v4,6.74,613,0.289
AF-G4VJL7-F1-model_v4,70.23,613,0.988
AF-A0A5K4EIA4-F1-model_v4,13.74,613,0.614
AF-A0A5K4FGJ9-F1-model_v4,9.26,613,0.425
AF-A0A3Q0KF15-F1-model_v4,2.68,613,0.064
AF-A0A3Q0KMD6-F1-model_v4,3.72,613,0.114
AF-A0A5K4EUV9-F1-model_v4,18.6,613,0.756
AF-A0A5K4ET47-F1-model_v4,4.68,614,0.169
AF-A0A5K4F4F0-F1-model_v4,5.94,614,0.242
AF-A0A3Q0KIM3-F1-model_v4,5.52,614,0.218
AF-A0A5K4EMN5-F1-model_v4,10.96,614,0.506
AF-G4VPR4-F1-model_v4,9.04,615,0.415
AF-A0A5K4FAN4-F1-model_v4,15.38,615,0.671
AF-A0A3Q0KUI3-F1-model_v4,6.57,615,0.28
AF-A0A5K4F1N4-F1-model_v4,16.16,615,0.693
AF-A0A3Q0KMB4-F1-model_v4,44.78,615,0.957
AF-P19331-F1-model_v4,14.57,615,0.644
AF-G4VTM0-F1-model_v4,4.05,615,0.132
AF-A0A3Q0KKS8-F1-model_v4,8.88,615,0.407
AF-A0A5K4F803-F1-model_v4,4.53,615,0.16
AF-A0A3Q0KBJ1-F1-model_v4,1.21,615,0.01
AF-A0A5K4FBB6-F1-model_v4,35.71,615,0.934
AF-A0A5K4EPH1-F1-model_v4,3.4,615,0.097
AF-A0A3Q0KUB1-F1-model_v4,12.59,616,0.571
AF-A0A5K4FDV9-F1-model_v4,7.4,616,0.326
AF-A0A5K4F869-F1-model_v4,2.44,616,0.054
AF-A0A5K4F534-F1-model_v4,1.82,616,0.029
AF-G4VPC5-F1-model_v4,1.51,617,0.018
AF-A0A5K4EPS0-F1-model_v4,2.91,617,0.075
AF-A0A3Q0KLE9-F1-model_v4,33.77,617,0.923
AF-A0A5K4F4E5-F1-model_v4,3.83,617,0.12
AF-A0A5K4F8T3-F1-model_v4,15.43,617,0.673
AF-A0A5K4E9X3-F1-model_v4,4.71,618,0.17
AF-A0A5K4F5T2-F1-model_v4,26.29,618,0.872
AF-G4VB75-F1-model_v4,1.4,618,0.015
AF-G4VN60-F1-model_v4,31.32,618,0.909
AF-G4VKK8-F1-model_v4,23.7,618,0.844
AF-A0A5K4EYR1-F1-model_v4,1.67,618,0.023
AF-A0A3Q0KR05-F1-model_v4,61.48,618,0.983
AF-A0A5K4F6Z6-F1-model_v4,7.65,618,0.339
AF-A0A3Q0KUT1-F1-model_v4,1.23,618,0.01
AF-A0A3Q0KQS0-F1-model_v4,50.8,618,0.968
AF-A0A3Q0KC63-F1-model_v4,2.67,618,0.064
AF-A0A5K4ENX2-F1-model_v4,11.36,619,0.524
AF-A0A5K4EGY9-F1-model_v4,15.01,619,0.66
AF-A0A3Q0KQK3-F1-model_v4,5.71,619,0.229
AF-A0A5K4EPL1-F1-model_v4,10.69,619,0.493
AF-A0A5K4FA91-F1-model_v4,37.0,619,0.938
AF-A0A5K4EPS1-F1-model_v4,52.4,619,0.97
AF-A0A3Q0KNK8-F1-model_v4,4.12,620,0.136
AF-G4LYW7-F1-model_v4,6.4,620,0.269
AF-A0A5K4F3T7-F1-model_v4,10.22,620,0.473
AF-A0A3Q0KI95-F1-model_v4,22.12,620,0.822
AF-A0A5K4F3G9-F1-model_v4,5.37,620,0.209
AF-G4VKB5-F1-model_v4,1.63,620,0.022
AF-A0A5K4FAI6-F1-model_v4,30.22,621,0.902
